fuel_consumption,accelerator_pedal_value,throttle_position_signal,intake_air_pressure,absolute_throttle_position,engine_in_fuel_cut_off,engine_speed,engine_torque_after_correction,torque_of_friction,flywheel_torque_after_torque_interventions,engine_torque,calculated_load_value,flywheel_torque,current_gear,wheel_velocity_front_left_hand,wheel_velocity_rear_right_hand,wheel_velocity_front_right_hand,wheel_velocity_rear_left_hand,clutch_operation_acknowledge,gear_selection,vehicle_speed,acceleration_speed_longitudinal,indication_of_brake_switch_on_off,master_cylinder_pressure,calculated_road_gradient,acceleration_speed_lateral,steering_wheel_speed,steering_wheel_angle,time_s,driver_id,pathorder
627.2,0.8,8.0,43,15.7,0,1610,20.3,19.9,-9.8,20.3,31.8,-9.6,1,11.8,10.1,10.1,11.8,1,5,10,0.0,1,1.1,0.0,-0.5,52,-63.5,45,A,1
409.6,0.0,8.5,45,15.7,0,1112,21.1,19.1,27.7,20.7,34.5,27.7,1,11.4,10.1,10.1,11.3,1,5,10,-0.1,1,1.1,0.0,-0.4,12,-50.5,46,A,1
960.0,11.3,13.2,65,19.2,0,1666,34.8,19.5,34.3,34.8,52.2,34.1,1,11.5,10.3,10.3,11.4,1,5,11,0.4,1,1.1,0.0,-0.3,0,-43.7,47,A,1
1190.4,12.9,15.0,69,20.8,0,1786,36.3,19.1,56.3,37.1,55.3,55.4,2,13.8,12.6,12.6,13.6,1,5,13,0.7,1,1.1,0.0,-0.4,8,-34.0,48,A,1
1254.4,10.9,15.0,75,21.2,0,1692,40.2,18.4,33.8,40.2,63.9,33.7,2,16.5,15.2,15.2,16.4,0,5,15,0.7,1,1.1,0.0,-0.4,0,-21.4,49,A,1
896.0,7.8,11.3,55,18.0,0,1717,29.7,19.1,19.0,29.7,43.5,19.0,2,18.3,17.3,17.4,18.3,0,5,17,0.2,1,1.1,0.5,-0.3,12,-12.5,50,A,1
627.2,0.4,8.5,42,16.1,0,1664,19.9,19.5,-10.7,19.9,31.0,-10.9,2,18.8,18.0,18.0,18.8,1,5,17,-0.1,1,1.1,1.0,-0.4,20,-3.9,51,A,1
460.8,0.0,7.5,37,15.3,0,1466,14.5,19.9,-13.5,14.5,26.7,-13.5,2,17.8,17.0,16.8,17.8,1,5,17,-0.4,1,1.1,1.0,-0.3,16,9.4,52,A,1
921.6,14.1,14.1,59,19.2,0,1634,31.6,19.1,62.4,31.6,47.5,62.4,2,17.4,16.2,16.2,17.1,0,5,16,0.2,1,1.1,1.0,-0.2,8,-6.8,53,A,1
1753.6,16.8,20.7,84,25.1,0,2011,46.9,18.4,63.4,46.9,70.2,63.4,2,20.1,19.0,19.2,19.9,0,5,19,1.0,1,1.1,1.0,-0.2,4,5.1,54,A,1
1228.8,6.2,11.8,60,19.6,0,2072,30.9,18.8,-10.2,30.9,45.1,-10.7,2,22.9,22.0,22.0,22.8,1,5,21,0.4,1,1.1,1.0,-0.1,12,-0.5,55,A,1
537.6,0.0,8.0,41,15.7,0,1450,16.0,18.8,-1.8,16.0,31.0,-1.5,3,22.8,21.9,22.0,22.5,1,5,21,-0.2,1,1.1,1.0,-0.1,12,4.0,56,A,1
512.0,0.0,8.0,44,15.7,0,1306,17.6,18.8,-5.5,17.6,33.7,-5.2,3,22.1,21.9,21.9,22.0,1,5,21,-0.2,1,1.1,0.0,0.2,16,24.6,57,A,1
486.4,0.0,8.0,44,15.7,0,1262,16.8,19.1,-6.3,16.8,32.9,-6.2,3,21.8,21.1,21.3,21.6,1,5,21,-0.2,1,1.0,0.0,0.1,8,10.9,58,A,1
460.8,0.0,7.5,44,15.3,0,1206,16.4,19.1,-7.3,16.4,32.9,-7.2,3,21.4,20.1,20.1,21.3,1,5,20,-0.2,1,1.0,0.0,-0.3,24,-12.0,59,A,1
435.2,0.0,7.5,44,15.3,0,1138,16.8,19.1,-4.5,16.8,33.7,-4.3,3,20.5,19.9,20.0,20.5,1,5,19,-0.2,1,1.1,0.0,0.1,20,24.4,60,A,1
435.2,0.0,7.5,46,15.3,0,1080,17.6,18.8,-3.0,17.6,35.3,-2.6,3,19.1,18.6,18.6,19.0,1,5,19,-0.3,1,2.0,1.0,1.2,72,96.2,61,A,1
537.6,3.9,9.4,53,16.5,0,1169,25.0,18.8,40.8,25.0,42.0,40.7,3,17.9,18.1,18.1,17.6,1,5,18,-0.2,1,1.1,1.0,2.0,64,164.9,62,A,1
1100.8,16.8,16.9,78,21.6,0,1507,41.8,17.6,67.0,41.8,67.1,67.7,3,17.3,18.1,18.2,16.8,1,5,18,0.2,1,1.1,1.0,2.7,56,214.5,63,A,1
1792.0,21.5,58.7,96,47.1,0,1766,51.2,17.2,82.1,51.2,89.4,82.1,3,18.0,18.7,19.7,17.4,1,5,19,0.7,1,1.1,1.5,2.2,84,116.3,64,A,1
2073.6,28.9,100.0,99,83.5,0,1858,53.5,17.2,85.0,53.5,92.9,83.4,3,19.9,19.9,20.0,19.5,1,5,20,1.0,1,1.1,4.5,0.9,64,56.7,65,A,1
2176.0,30.1,100.0,99,83.9,0,1898,53.9,17.2,86.7,53.9,92.9,86.7,3,21.5,20.8,21.0,21.3,1,5,21,1.1,1,1.1,8.0,0.4,32,20.3,66,A,1
2252.8,30.9,100.0,99,83.9,0,1956,54.7,17.2,87.3,54.7,93.3,87.3,3,23.3,22.1,22.2,23.0,1,5,22,1.1,1,1.1,8.5,0.2,16,3.3,67,A,1
2316.8,35.9,100.0,99,83.9,0,2010,56.3,16.8,89.8,56.3,94.5,89.8,3,24.8,23.8,24.0,24.5,1,5,23,1.1,1,1.1,9.5,0.0,4,-2.3,68,A,1
2393.6,36.3,100.0,99,83.9,0,2076,55.1,16.4,85.9,55.1,93.3,85.9,3,26.4,25.3,25.6,26.0,1,5,25,1.1,1,1.1,9.5,0.1,4,0.3,69,A,1
2483.2,30.9,100.0,99,83.9,0,2129,53.5,16.4,83.8,53.5,91.0,83.8,3,27.9,26.7,26.9,27.6,1,5,26,1.1,1,1.1,9.5,0.1,0,1.9,70,A,1
2534.4,21.5,93.4,99,81.6,0,2180,52.3,16.4,80.0,52.3,89.4,80.0,3,29.3,28.1,28.3,29.0,1,5,28,1.1,1,1.1,9.0,0.1,0,9.0,71,A,1
1600.0,8.2,16.0,69,25.5,0,2028,38.7,17.2,17.9,38.3,58.8,18.0,3,30.3,29.6,29.9,30.1,1,5,29,0.6,1,1.1,8.0,0.3,8,10.0,72,A,1
742.4,5.9,9.9,45,16.9,0,1830,24.2,18.0,15.6,24.2,34.1,15.6,3,29.4,28.3,28.5,29.3,1,5,28,0.0,1,1.0,7.5,0.1,0,9.1,73,A,1
819.2,10.2,11.3,52,17.6,0,1797,27.7,18.0,24.8,27.7,39.6,24.9,3,28.4,27.8,28.0,28.3,1,5,27,0.1,1,1.0,6.0,-0.3,8,0.0,74,A,1
857.6,10.2,11.3,54,18.0,0,1776,28.9,17.6,24.9,28.9,41.6,24.9,3,28.0,26.8,27.2,27.9,1,5,26,0.1,1,1.1,5.0,-0.3,4,8.8,75,A,1
1049.6,15.2,14.6,64,20.0,0,1824,35.2,17.2,70.4,35.2,51.4,70.6,3,27.8,26.9,27.2,27.6,1,5,27,0.3,1,1.1,3.5,0.3,12,22.0,76,A,1
1920.0,23.4,29.6,91,29.8,0,2035,50.4,16.4,81.0,50.8,80.4,81.0,3,29.0,28.4,28.5,28.6,1,5,28,0.7,1,1.1,3.0,0.8,20,43.0,77,A,1
2457.6,18.4,75.1,97,66.7,0,2212,50.4,16.4,52.9,50.4,88.2,50.0,3,31.3,30.7,30.9,30.9,1,5,30,1.0,1,1.1,3.5,0.7,24,7.5,78,A,1
793.6,0.0,7.5,37,16.1,0,1886,16.8,18.4,-1.1,16.8,27.8,-1.1,3,32.0,30.9,31.0,31.9,1,5,30,-0.2,2,3.7,4.0,-0.5,28,-21.4,79,A,1
985.6,0.0,14.1,72,19.6,0,1464,26.2,16.4,11.9,26.2,57.6,12.5,4,29.4,27.6,27.8,29.3,1,5,27,-0.7,2,10.8,4.0,-1.5,36,-65.0,80,A,1
755.2,0.0,10.8,67,17.6,0,1245,23.4,16.4,45.5,23.4,53.7,41.1,4,26.3,23.2,23.5,26.0,1,5,23,-0.6,1,4.0,4.0,-2.7,76,-93.5,81,A,1
1536.0,16.4,24.9,88,26.3,0,1803,47.7,16.4,79.4,47.7,77.6,80.4,3,24.4,22.1,22.1,24.1,1,5,22,0.6,1,1.0,4.0,-1.1,52,-39.9,82,A,1
2124.8,14.5,78.9,98,65.9,0,1965,52.3,16.4,59.3,52.3,91.8,56.6,3,24.8,23.3,23.8,24.5,1,5,23,1.0,1,1.0,4.0,-0.2,48,10.5,83,A,1
1075.2,0.0,12.7,64,19.6,0,1645,34.4,16.8,58.3,34.4,53.3,59.8,3,24.4,23.5,23.7,24.3,1,5,23,0.4,1,1.0,4.0,0.1,12,7.3,84,A,1
1907.2,21.5,55.4,95,44.7,0,1897,50.8,16.4,84.4,50.8,83.9,84.4,3,24.1,22.9,23.4,23.9,1,5,23,0.9,1,1.0,4.0,0.0,4,7.0,85,A,1
1625.6,4.7,35.7,77,40.0,0,1813,41.0,16.8,27.8,41.0,69.0,27.9,3,24.4,23.9,23.9,24.3,1,5,23,0.8,1,1.0,4.0,0.1,0,3.3,86,A,1
832.0,0.8,12.7,61,18.4,0,1536,31.3,16.8,64.2,31.3,47.5,64.8,3,22.8,21.9,22.0,22.6,1,5,21,0.3,1,1.0,4.0,0.0,8,-8.0,87,A,1
1856.0,19.9,49.3,95,40.8,0,1842,50.4,16.0,82.6,50.8,86.3,84.2,3,22.0,20.5,21.0,21.8,1,5,21,0.9,1,1.1,4.0,-0.1,0,-12.9,88,A,1
2227.2,30.9,100.0,99,82.7,0,1960,54.3,16.0,90.5,54.3,94.1,90.5,3,23.0,21.7,21.9,22.8,1,5,21,1.1,1,1.0,4.0,-0.8,60,-70.0,89,A,1
2355.2,35.5,100.0,99,83.9,0,2045,54.7,15.6,88.0,54.7,94.5,88.0,3,24.0,22.2,22.8,23.8,1,5,22,1.3,1,1.0,4.0,-0.2,64,-1.4,90,A,1
2380.8,34.8,100.0,99,83.9,0,2061,54.3,15.6,88.4,54.3,93.7,88.4,3,25.0,24.0,24.0,24.6,1,5,24,1.2,1,1.1,4.0,0.3,28,20.9,91,A,1
1651.2,6.2,37.6,73,42.0,0,1882,39.5,16.0,20.1,39.5,65.9,20.1,3,25.8,25.0,25.5,25.5,1,5,24,0.8,1,1.1,6.0,0.5,12,36.1,92,A,1
665.6,0.0,9.4,48,16.5,0,1518,22.7,16.8,7.8,22.7,36.5,8.2,3,23.8,23.1,23.1,23.6,1,5,23,0.1,1,1.0,8.5,0.2,20,14.9,93,A,1
588.8,0.0,8.9,50,16.5,0,1334,21.1,16.4,9.5,21.1,38.8,9.7,3,21.0,20.2,20.3,20.9,1,5,20,0.0,1,1.1,9.5,0.0,12,3.0,94,A,1
537.6,0.0,8.9,54,16.1,0,1157,21.9,16.4,15.1,22.3,42.0,15.6,3,17.8,16.9,17.0,17.6,1,5,17,-0.1,2,4.4,9.5,0.1,16,17.2,95,A,1
537.6,0.0,8.9,62,16.1,0,996,25.8,16.4,22.4,25.8,50.6,23.0,3,12.9,12.1,12.1,12.8,1,5,12,-0.8,2,13.3,8.0,0.0,0,15.1,96,A,1
665.6,7.4,16.0,77,19.6,0,982,30.5,15.6,69.8,31.3,67.8,68.7,3,8.5,7.5,7.8,8.4,1,5,8,0.1,1,1.1,3.5,0.0,12,38.2,97,A,1
1766.4,28.5,86.9,99,68.6,0,1730,51.6,15.6,85.7,51.6,92.5,85.7,1,8.4,7.5,7.7,8.1,1,5,8,1.8,1,1.1,1.5,0.1,56,91.4,98,A,1
2380.8,32.8,100.0,99,83.9,0,2146,52.3,16.4,83.6,52.3,91.0,82.6,1,12.6,11.7,11.9,12.4,1,5,12,2.2,1,1.1,0.0,-0.4,120,-32.2,99,A,1
3187.2,38.3,100.0,99,83.9,0,2682,56.6,16.8,97.4,56.3,92.9,97.8,1,17.1,15.9,16.1,16.9,1,5,16,2.3,1,1.1,0.0,-0.3,0,-20.6,100,A,1
4006.4,33.2,86.9,97,77.3,0,3385,61.3,18.0,79.0,61.3,85.9,85.8,1,22.4,20.9,21.3,22.0,1,5,21,2.3,1,1.1,0.0,-0.3,8,-4.1,101,A,1
1651.2,6.2,11.8,51,20.8,0,2474,27.7,17.6,-22.4,28.1,41.6,-22.8,2,24.8,23.6,23.7,24.6,1,5,23,0.8,1,1.1,0.0,-0.1,0,-7.7,102,A,1
435.2,0.0,7.1,33,14.9,0,1450,13.7,18.0,-1.7,13.7,23.9,-1.4,3,22.0,20.8,20.9,21.9,1,5,20,-0.1,1,1.0,0.0,-0.2,4,-2.0,103,A,1
460.8,0.0,8.0,46,15.3,0,1159,19.1,17.6,7.2,19.5,34.5,7.4,3,18.5,17.6,17.6,18.5,1,5,17,-0.2,2,4.0,0.0,0.1,8,4.8,104,A,1
499.2,0.0,8.9,58,16.1,0,978,25.0,17.2,21.5,25.4,47.5,22.0,3,12.5,11.7,11.7,12.5,1,5,12,-1.5,2,19.6,0.0,0.1,12,5.9,105,A,1
524.8,0.0,8.5,66,15.7,0,886,25.4,17.2,14.9,25.4,56.1,15.6,3,5.6,4.8,4.8,5.5,1,5,6,-0.3,1,5.4,0.0,0.0,0,4.8,106,A,1
563.2,4.7,10.4,70,16.9,0,958,30.5,16.8,59.5,30.1,60.4,58.7,1,4.3,3.8,4.0,4.3,1,5,4,0.5,1,1.0,-1.0,-0.1,0,3.7,107,A,1
755.2,1.2,9.4,64,17.3,0,1242,32.4,17.6,15.9,32.4,55.3,16.1,1,5.3,4.2,4.1,5.3,1,5,5,1.1,1,1.1,0.0,-0.1,8,-6.6,108,A,1
704.0,12.5,13.2,71,18.8,0,1132,35.2,17.2,63.6,34.8,61.6,64.7,1,5.4,4.1,4.2,5.3,1,5,5,0.9,1,1.1,0.0,-0.1,0,-10.2,109,A,1
1152.0,6.6,14.1,77,20.8,0,1536,40.2,17.2,22.3,39.8,66.7,22.3,1,7.6,6.6,6.8,7.5,1,5,7,1.6,1,1.1,0.0,-0.2,44,-55.8,110,A,1
563.2,1.6,8.0,53,15.7,0,1233,25.8,18.4,12.1,25.4,41.6,11.8,1,8.1,6.7,6.8,8.1,1,5,7,0.3,1,1.1,0.0,-0.2,100,-170.9,111,A,1
409.6,0.0,7.1,50,14.9,0,997,21.9,18.8,10.5,21.9,40.0,10.7,1,7.0,5.2,5.3,6.8,1,5,5,-0.1,2,3.9,0.0,0.0,64,-191.3,112,A,1
448.0,0.0,8.9,65,16.1,0,809,25.8,18.0,15.4,25.8,54.1,16.2,1,3.8,2.5,2.7,3.6,1,5,3,-0.6,2,13.1,0.0,0.4,52,-136.2,113,A,1
486.4,0.0,8.0,71,15.7,0,786,24.6,17.6,12.8,24.6,60.0,13.5,1,0.9,0.1,0.0,0.9,1,5,0,-0.3,2,14.3,0.0,0.4,4,-131.5,114,A,1
422.4,0.0,7.5,71,15.3,0,702,25.0,18.4,13.1,25.4,60.0,13.7,1,0.1,0.0,0.0,0.1,1,5,0,0.2,2,15.3,0.0,0.3,0,-131.2,115,A,1
409.6,0.0,7.1,71,14.9,0,687,25.0,19.1,12.4,25.4,59.6,12.2,1,0.0,0.0,0.0,0.0,1,5,0,0.2,2,17.9,0.0,0.3,0,-131.5,116,A,1
371.2,0.0,7.1,69,14.9,0,682,25.4,19.1,13.5,25.4,58.0,13.4,1,0.0,0.0,0.0,0.0,1,5,0,0.2,2,18.6,0.0,0.3,0,-131.2,117,A,1
371.2,0.0,7.1,68,14.9,0,678,25.4,19.1,13.6,25.4,56.9,13.9,1,0.0,0.0,0.0,0.0,1,5,0,0.2,2,18.7,0.0,0.3,0,-131.2,118,A,1
384.0,0.0,7.1,68,14.9,0,678,25.0,19.1,12.6,25.0,56.5,13.0,1,0.0,0.0,0.0,0.0,1,5,0,0.2,2,19.2,0.0,0.3,0,-131.2,119,A,1
358.4,0.0,7.1,68,14.9,0,673,25.0,19.1,13.9,25.4,56.5,14.0,1,0.0,0.0,0.0,0.0,1,5,0,0.2,2,20.7,0.0,0.3,0,-131.4,120,A,1
448.0,3.1,11.8,76,16.9,0,755,30.9,18.8,54.0,30.1,63.9,57.7,1,0.0,0.0,0.0,0.0,1,5,0,0.6,1,1.0,0.0,0.3,144,10.0,121,A,1
1024.0,4.7,16.9,78,23.9,0,1353,37.5,18.8,20.8,37.5,68.2,20.9,1,4.0,2.8,2.9,4.0,1,5,3,1.6,2,1.1,0.0,0.2,60,-63.1,122,A,1
448.0,0.0,7.1,55,14.9,0,924,23.8,18.8,12.2,23.8,45.9,12.3,1,5.9,4.5,4.4,5.9,1,5,5,-0.3,2,6.0,0.0,0.1,80,-141.1,123,A,1
422.4,0.0,8.0,64,15.3,0,805,25.0,18.0,14.6,25.0,53.3,15.1,1,4.1,2.7,2.8,4.0,1,5,3,-0.5,2,8.7,0.0,0.3,40,-172.6,124,A,1
460.8,0.0,8.0,69,15.7,0,789,25.0,18.0,15.3,25.0,58.0,15.7,1,2.9,2.0,2.0,2.9,1,5,2,-0.1,2,5.3,0.0,0.4,24,-152.1,125,A,1
448.0,0.0,8.5,70,15.7,0,795,26.2,17.6,39.0,25.8,59.2,33.3,1,3.4,2.1,2.1,3.4,1,5,3,0.3,1,1.2,0.0,0.2,76,-242.5,126,A,1
678.4,3.1,9.4,69,16.9,0,1138,32.0,17.6,21.0,31.6,58.0,18.6,1,6.3,4.0,4.5,6.0,1,5,5,0.6,1,1.1,0.0,-0.2,76,-294.3,127,A,1
742.4,10.9,11.3,65,18.0,0,1376,33.6,18.0,34.1,33.6,52.9,34.1,1,9.3,6.7,6.9,8.8,1,5,7,0.4,1,1.1,13.0,-0.3,64,-220.2,128,A,1
1216.0,16.8,16.0,70,20.8,0,1891,38.7,18.4,65.5,38.7,56.5,65.3,1,12.8,10.2,10.5,12.4,1,5,11,0.7,1,1.1,0.0,-0.3,112,-100.3,129,A,1
1984.0,28.1,35.2,91,32.5,0,2090,48.4,17.2,78.8,50.0,80.8,78.8,2,17.8,15.8,16.1,17.5,1,5,16,1.1,1,1.1,0.0,-0.3,72,-30.4,130,A,1
